Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S03941700006,02/07/2012,3886,Wal-Mart 0646 / Anamosa,101  115 ST,ANAMOSA,52205,"101 115 ST
ANAMOSA 52205
(42.101677, -91.264965)",53,Jones,1031080,VODKA 80 PROOF,260,Diageo Americas,38008,Smirnoff Vodka 80 Prf Pet,6,1750,$13.98,$20.97,6,$125.82,10.50,2.77
S12481500094,05/29/2013,2587,Hy-Vee Food Store / Johnston,5750 MERLE HAY ROAD,JOHNSTON,50131,"5750 MERLE HAY ROAD
JOHNSTON 50131
(41.664386, -93.69774)",77,Polk,1022100,TEQUILA,395,Proximo,89193,Jose Cuervo Especial Reposado Tequila,48,200,$3.00,$4.49,3,$13.47,0.60,0.16
S18908400016,05/12/2014,3700,Avoca Liquor,158 SOUTH ELM,AVOCA,51521,"158 SOUTH ELM
AVOCA 51521
(41.475941, -95.339425)",78,Pottawattamie,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45277,Paramount White Rum,12,1000,$4.34,$6.51,12,$78.12,12.00,3.17
S07439500004,08/30/2012,4288,Uptown Liquor and Tobacco,2000 WILEY BLVD SW STE 106,CEDAR RAPIDS,52404,"2000 WILEY BLVD SW STE 106
CEDAR RAPIDS 52404
(41.959613, -91.725777)",57,Linn,1081200,CREAM LIQUEURS,305,MHW Ltd,73050,Rumchata,6,750,$12.50,$18.75,6,$112.50,4.50,1.19
S28866600040,11/04/2015,2625,Hy-Vee Wine and Spirits #2,3301 W KIMBERLY RD,DAVENPORT,52804,"3301 W KIMBERLY RD
DAVENPORT 52804
",82,Scott,1062310,SPICED RUM,259,Heaven Hill Brands,43986,Admiral Nelson Cherry Spiced Rum,6,1750,$11.55,$17.33,2,$34.66,3.50,0.92
S24995500008,04/09/2015,3831,The Market Of Madrid,301 ANNEX RD,MADRID,50156,"301 ANNEX RD
MADRID 50156
(41.87894, -93.815365)",08,Boone,1051100,APRICOT BRANDIES,434,Luxco-St Louis,54446,Paramount Apricot Flavored Brandy,12,750,$5.48,$8.22,12,$98.64,9.00,2.38
S27173200095,08/05/2015,2566,Hy-Vee Food Store / Knoxville,813 N LINCOLN STE 1,KNOXVILLE,50138,"813 N LINCOLN STE 1
KNOXVILLE 50138
(41.325428, -93.109494)",63,Marion,1081390,IMPORTED SCHNAPPS,421,"Sazerac Co., Inc.",69636,Dr. Mcgillicuddy's Cherry Schnapps,12,750,$8.67,$13.01,12,$156.12,9.00,2.38
S24310300021,03/03/2015,4812,Liquor Beer & Tobacco Outlet / Charl,1908 CLARK ST,CHARLES CITY,50616,"1908 CLARK ST
CHARLES CITY 50616
(43.059133, -92.66188)",34,Floyd,1012100,CANADIAN WHISKIES,260,Diageo Americas,10803,Crown Royal Regal Apple Mini,10,300,$7.35,$11.03,10,$110.30,3.00,0.79
S24419300028,03/09/2015,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,"3780 STATE ST
BETTENDORF 52722
(41.529655, -90.48065)",82,Scott,1031200,VODKA FLAVORED,107,Blaum Bros. Distilling Co.,74664,HellFyre,6,750,$14.00,$21.00,3,$63.00,2.25,0.59
S23180700218,12/26/2014,2517,Hy-Vee Food Store #1 / Newton,1501 FIRST AVENUE EAST,NEWTON,50208,"1501 FIRST AVENUE EAST
NEWTON 50208
(41.69916, -93.034293)",50,Jasper,1012210,SINGLE MALT SCOTCH,65,Jim Beam Brands,4636,Bowmore 12 Yr Single Malt Scotch,6,750,$24.91,$37.37,3,$112.11,2.25,0.59
S05528900032,05/15/2012,3647,Wal-Mart 2889 / Clinton,2715 SOUTH 25TH ST,CLINTON,52732,"2715 SOUTH 25TH ST
CLINTON 52732
(41.818874, -90.245005)",23,Clinton,1031080,VODKA 80 PROOF,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,$7.13,$10.70,18,$192.60,31.50,8.32
S26295500020,06/18/2015,4773,"Fast Mart 2, LLC",2704 VINE ST,WEST DES MOINES,50265,"2704 VINE ST
WEST DES MOINES 50265
(41.580205, -93.74151)",77,Polk,1031080,VODKA 80 PROOF,260,Diageo Americas,37996,Smirnoff Vodka 80 Prf,12,750,$8.25,$12.38,4,$49.52,3.00,0.79
S06562100045,07/12/2012,3041,Shugar's Super Valu / Colfax,28 E HOWARD,COLFAX,50054,"28 E HOWARD
COLFAX 50054
(41.677804, -93.245037)",50,Jasper,1031200,VODKA FLAVORED,380,Phillips Beverage Company,41693,Uv Blue (raspberry) Vodka,12,750,$6.50,$9.74,3,$29.22,2.25,0.59
S04008200060,02/09/2012,2637,Hy-Vee #5 / Davenport,2351 W LOCUST,DAVENPORT,52804,"2351 W LOCUST
DAVENPORT 52804
(41.538207, -90.611972)",82,Scott,1071100,AMERICAN COCKTAILS,55,Sazerac North America,57144,Chi-Chi's White Russian,6,1750,$6.49,$9.74,6,$58.44,10.50,2.77
S28025900012,09/21/2015,2648,Hy-Vee #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,"555 S 51ST ST
WEST DES MOINES 50265
(41.561219, -93.773583)",77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43121,Bacardi Superior Rum Mini,12,500,$5.54,$8.31,1,$8.31,0.50,0.13
